txn_id,from_account,to_account,amount,currency,timestamp,status
TXN000001,ACC00039,ACC00116,193.29,USD,2026-01-15T09:22:00,completed
TXN000002,ACC00056,ACC00019,1258.78,USD,2026-05-25T21:50:00,completed
TXN000003,ACC00022,ACC00023,440.89,USD,2026-06-08T21:15:00,pending
TXN000004,ACC00117,ACC00075,758.43,USD,2026-06-13T08:29:00,completed
TXN000005,ACC00086,ACC00002,4499.6,USD,2026-03-15T21:34:00,completed
TXN000006,ACC00010,ACC00057,4728.92,USD,2026-06-13T13:44:00,completed
TXN000007,ACC00059,ACC00109,1545.5,USD,2026-05-04T03:15:00,pending
TXN000008,ACC00074,ACC00046,2895.32,USD,2026-01-06T21:25:00,completed
TXN000009,ACC00002,ACC00073,4332.08,INR,2026-06-05T23:31:00,completed
TXN000010,ACC00100,ACC00103,1189.09,USD,2026-02-26T20:12:00,flagged
TXN000011,ACC00033,ACC00087,3790.11,INR,2026-06-10T03:57:00,completed
TXN000012,ACC00040,ACC00101,2232.07,USD,2026-02-03T02:58:00,completed
TXN000013,ACC00042,ACC00096,2106.74,INR,2026-02-03T17:56:00,completed
TXN000014,ACC00068,ACC00065,4571.76,INR,2026-03-07T15:51:00,completed
TXN000015,ACC00096,ACC00112,1726.64,INR,2026-04-30T02:09:00,completed
TXN000016,ACC00111,ACC00087,3634.87,USD,2026-05-23T11:05:00,pending
TXN000017,ACC00002,ACC00034,2706.03,USD,2026-04-05T21:47:00,completed
TXN000018,ACC00075,ACC00049,4120.97,USD,2026-01-28T21:14:00,pending
TXN000019,ACC00004,ACC00080,4426.96,USD,2026-06-06T07:41:00,completed
TXN000020,ACC00082,ACC00106,2348.12,USD,2026-06-16T13:07:00,completed
TXN000021,ACC00006,ACC00005,1556.6,USD,2026-01-30T03:15:00,flagged
TXN000022,ACC00018,ACC00050,2295.54,USD,2026-05-31T23:46:00,completed
TXN000023,ACC00114,ACC00054,3291.86,USD,2026-06-07T13:17:00,completed
TXN000024,ACC00089,ACC00048,1125.48,USD,2026-03-02T11:06:00,completed
TXN000025,ACC00070,ACC00116,4890.32,USD,2026-01-16T12:17:00,completed
TXN000026,ACC00016,ACC00109,4129.75,INR,2026-06-19T06:41:00,flagged
TXN000027,ACC00003,ACC00007,3944.63,INR,2026-02-02T18:13:00,completed
TXN000028,ACC00107,ACC00098,2793.33,INR,2026-03-01T10:49:00,completed
TXN000029,ACC00101,ACC00116,3000.11,USD,2026-02-07T04:34:00,completed
TXN000030,ACC00103,ACC00023,594.14,INR,2026-02-03T00:22:00,completed
TXN000031,ACC00076,ACC00042,128.12,USD,2026-01-14T04:47:00,pending
TXN000032,ACC00068,ACC00015,3741.04,USD,2026-04-25T11:32:00,flagged
TXN000033,ACC00014,ACC00058,2544.0,INR,2026-06-18T16:19:00,pending
TXN000034,ACC00083,ACC00004,351.09,USD,2026-04-13T13:43:00,completed
TXN000035,ACC00063,ACC00092,4553.02,INR,2026-01-21T10:38:00,completed
TXN000036,ACC00009,ACC00017,1411.33,USD,2026-04-08T19:33:00,completed
TXN000037,ACC00059,ACC00065,3046.86,INR,2026-06-29T03:54:00,flagged
TXN000038,ACC00093,ACC00111,1114.36,USD,2026-02-28T13:21:00,pending
TXN000039,ACC00052,ACC00054,3661.58,USD,2026-04-20T10:42:00,completed
TXN000040,ACC00048,ACC00020,3449.76,USD,2026-01-18T02:53:00,completed
TXN000041,ACC00012,ACC00056,527.99,USD,2026-02-03T17:03:00,flagged
TXN000042,ACC00072,ACC00043,3366.57,USD,2026-04-01T21:48:00,pending
TXN000043,ACC00112,ACC00118,3619.25,USD,2026-06-03T09:22:00,completed
TXN000044,ACC00074,ACC00065,1103.06,USD,2026-02-27T03:22:00,flagged
TXN000045,ACC00048,ACC00015,3824.9,INR,2026-04-20T17:49:00,flagged
TXN000046,ACC00079,ACC00087,3231.36,INR,2026-06-05T21:53:00,completed
TXN000047,ACC00004,ACC00024,1402.69,USD,2026-03-28T11:00:00,completed
